waveform	[0]	[1]	[2]
t0	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400
delta t	4.980000E-5	4.980000E-5	4.980000E-5

time	Y[0]	Y[1]	Y[2]
2023-02-25  12:35:45.046400	4.514160E+1	7.324219E-2	5.316162E+1
2023-02-25  12:35:45.046450	4.508667E+1	9.155273E-2	5.310059E+1
2023-02-25  12:35:45.046500	4.524536E+1	6.103516E-2	5.301514E+1
2023-02-25  12:35:45.046550	4.528198E+1	3.662109E-2	5.306396E+1
2023-02-25  12:35:45.046599	4.513550E+1	4.272461E-2	5.299072E+1
2023-02-25  12:35:45.046649	4.505615E+1	5.493164E-2	5.296631E+1
2023-02-25  12:35:45.046699	4.515381E+1	6.103516E-2	5.297852E+1
2023-02-25  12:35:45.046749	4.508057E+1	4.882812E-2	5.300293E+1
2023-02-25  12:35:45.046799	4.501343E+1	1.037598E-1	5.302734E+1
2023-02-25  12:35:45.046848	4.507446E+1	3.662109E-2	5.310059E+1
2023-02-25  12:35:45.046898	4.513550E+1	6.713867E-2	5.311279E+1
2023-02-25  12:35:45.046948	4.503784E+1	5.493164E-2	5.298462E+1
2023-02-25  12:35:45.046998	4.518433E+1	9.765625E-2	5.293579E+1
2023-02-25  12:35:45.047048	4.519653E+1	5.493164E-2	5.292969E+1
2023-02-25  12:35:45.047097	4.497681E+1	1.831055E-2	5.305786E+1
2023-02-25  12:35:45.047147	4.515991E+1	6.103516E-2	5.303955E+1
2023-02-25  12:35:45.047197	4.496460E+1	1.831055E-2	5.300293E+1
2023-02-25  12:35:45.047247	4.509888E+1	1.098633E-1	5.308228E+1
2023-02-25  12:35:45.047297	4.495850E+1	3.662109E-2	5.294800E+1
2023-02-25  12:35:45.047346	4.487305E+1	6.103516E-2	5.303345E+1
2023-02-25  12:35:45.047396	4.514771E+1	9.155273E-2	5.300903E+1
2023-02-25  12:35:45.047446	4.501343E+1	6.103516E-2	5.300293E+1
2023-02-25  12:35:45.047496	4.482422E+1	7.324219E-2	5.294800E+1
2023-02-25  12:35:45.047546	4.506836E+1	6.713867E-2	5.313110E+1
2023-02-25  12:35:45.047595	4.502563E+1	6.713867E-2	5.302734E+1
2023-02-25  12:35:45.047645	4.515991E+1	7.324219E-2	5.290527E+1
2023-02-25  12:35:45.047695	4.513550E+1	5.493164E-2	5.311890E+1
2023-02-25  12:35:45.047745	4.513550E+1	5.493164E-2	5.296021E+1
2023-02-25  12:35:45.047795	4.495850E+1	6.713867E-2	5.299072E+1
2023-02-25  12:35:45.047844	4.523315E+1	6.713867E-2	5.308228E+1
2023-02-25  12:35:45.047894	4.514771E+1	3.662109E-2	5.314331E+1
2023-02-25  12:35:45.047944	4.514771E+1	7.324219E-2	5.294800E+1
2023-02-25  12:35:45.047994	4.516602E+1	4.882812E-2	5.302124E+1
2023-02-25  12:35:45.048044	4.515381E+1	8.544922E-2	5.297241E+1
2023-02-25  12:35:45.048093	4.517212E+1	3.051758E-2	5.298462E+1
2023-02-25  12:35:45.048143	4.526978E+1	4.272461E-2	5.304565E+1
2023-02-25  12:35:45.048193	4.520264E+1	2.441406E-2	5.309448E+1
2023-02-25  12:35:45.048243	4.522705E+1	4.882812E-2	5.289307E+1
2023-02-25  12:35:45.048293	4.507446E+1	5.493164E-2	5.302734E+1
2023-02-25  12:35:45.048342	4.524536E+1	6.713867E-2	5.305176E+1
2023-02-25  12:35:45.048392	4.508057E+1	3.662109E-2	5.302124E+1
2023-02-25  12:35:45.048442	4.505005E+1	3.662109E-2	5.303345E+1
2023-02-25  12:35:45.048492	4.522705E+1	4.272461E-2	5.308228E+1
2023-02-25  12:35:45.048542	4.515381E+1	6.713867E-2	5.295410E+1
2023-02-25  12:35:45.048591	4.501953E+1	4.882812E-2	5.300903E+1
2023-02-25  12:35:45.048641	4.508057E+1	7.324219E-2	5.304565E+1
2023-02-25  12:35:45.048691	4.503784E+1	-1.220703E-2	5.303955E+1
2023-02-25  12:35:45.048741	4.512329E+1	5.493164E-2	5.297852E+1
2023-02-25  12:35:45.048791	4.502563E+1	7.934570E-2	5.296631E+1
2023-02-25  12:35:45.048840	4.499512E+1	3.662109E-2	5.292969E+1
2023-02-25  12:35:45.048890	4.523315E+1	9.765625E-2	5.305786E+1
2023-02-25  12:35:45.048940	4.515991E+1	6.103516E-2	5.305176E+1
2023-02-25  12:35:45.048990	4.508667E+1	3.662109E-2	5.305176E+1
2023-02-25  12:35:45.049040	4.514771E+1	4.272461E-2	5.294800E+1
2023-02-25  12:35:45.049089	4.502563E+1	4.882812E-2	5.295410E+1
2023-02-25  12:35:45.049139	4.509277E+1	4.882812E-2	5.310669E+1
2023-02-25  12:35:45.049189	4.505615E+1	6.713867E-2	5.300293E+1
2023-02-25  12:35:45.049239	4.524536E+1	7.324219E-2	5.311890E+1
2023-02-25  12:35:45.049289	4.519653E+1	4.272461E-2	5.298462E+1
2023-02-25  12:35:45.049338	4.519043E+1	8.544922E-2	5.303345E+1
2023-02-25  12:35:45.049388	4.507446E+1	4.882812E-2	5.305176E+1
2023-02-25  12:35:45.049438	4.521484E+1	1.098633E-1	5.302734E+1
2023-02-25  12:35:45.049488	4.509277E+1	6.713867E-2	5.297241E+1
2023-02-25  12:35:45.049538	4.519653E+1	7.934570E-2	5.300293E+1
2023-02-25  12:35:45.049587	4.519043E+1	6.713867E-2	5.301514E+1
2023-02-25  12:35:45.049637	4.509277E+1	6.103516E-2	5.310059E+1
2023-02-25  12:35:45.049687	4.507446E+1	7.324219E-2	5.307617E+1
2023-02-25  12:35:45.049737	4.517822E+1	8.544922E-2	5.313110E+1
2023-02-25  12:35:45.049787	4.502563E+1	5.493164E-2	5.295410E+1
2023-02-25  12:35:45.049836	4.506836E+1	6.103516E-2	5.311279E+1
2023-02-25  12:35:45.049886	4.506226E+1	4.272461E-2	5.287476E+1
2023-02-25  12:35:45.049936	4.512329E+1	9.155273E-2	5.302124E+1
2023-02-25  12:35:45.049986	4.506226E+1	3.051758E-2	5.307007E+1
2023-02-25  12:35:45.050036	4.508057E+1	9.765625E-2	5.305786E+1
2023-02-25  12:35:45.050085	4.505005E+1	6.713867E-2	5.302124E+1
2023-02-25  12:35:45.050135	4.504395E+1	3.662109E-2	5.310669E+1
2023-02-25  12:35:45.050185	4.506226E+1	4.882812E-2	5.302124E+1
2023-02-25  12:35:45.050235	4.514160E+1	1.220703E-2	5.303955E+1
2023-02-25  12:35:45.050285	4.505005E+1	9.155273E-2	5.289307E+1
2023-02-25  12:35:45.050334	4.508667E+1	7.934570E-2	5.308838E+1
2023-02-25  12:35:45.050384	4.512939E+1	9.155273E-2	5.292969E+1
2023-02-25  12:35:45.050434	4.500122E+1	8.544922E-2	5.300903E+1
2023-02-25  12:35:45.050484	4.527588E+1	3.662109E-2	5.302734E+1
2023-02-25  12:35:45.050534	4.514771E+1	8.544922E-2	5.303955E+1
2023-02-25  12:35:45.050583	4.505005E+1	3.051758E-2	5.311890E+1
